"","division_id","division_name","franchise_id","franchise_name","h2h_wins","h2h_losses","h2h_ties","h2h_winpct","points_for","points_against","allplay_wins","allplay_losses","allplay_winpct","potential_points"
"22",965259,"Division 3",1180899,"powerTROLL9's punk killers",6,8,0,0.429,1400.16,1608.66,53,108,0.329,1706.720003
"23",965257,"Division 1",1171768,"Something About Josh Allen",5,9,0,0.357,1613.18,1645.56,86,89,0.491,2231.66
"24",965257,"Division 1",884499,"bjgpp’s You Only YOLO Once Superstars",4,10,0,0.286,1526.36,1764.32,69,106,0.394,2126.660004
"25",965260,"Division 1",1315061,"The OzSquad",12,2,0,0.857,1750.5,1465.58,101,67,0.601,2146.4
"26",965261,"Division 2",1171864,"Just got unrelegated",10,4,0,0.714,1715.82,1458.46,102,66,0.607,2253.5
"27",965261,"Division 2",998466,"TBD",9,5,0,0.643,1642.94,1613.76,91,84,0.52,2227.520004
"28",965262,"Division 3",885616,"Yarbles Nom Noms",9,5,0,0.643,1805.9,1611.04,111,64,0.634,2402.279995
"29",965262,"Division 3",1328789,"ZDivo’s Team (‘21)",9,5,0,0.643,1684.04,1576.54,87,74,0.54,1989.020006
"30",965260,"Division 1",998793,"To the 5 Burrows",7,7,0,0.5,1540.5,1656.08,76,85,0.472,1844.679995
"31",965261,"Division 2",1171809,"wafflebook's weekend warriors",7,7,0,0.5,1859.14,1609.94,101,67,0.601,2232.02001
"32",965261,"Division 2",1315225,"likewhatandstuff",6,8,0,0.429,1487.66,1726.8,60,108,0.357,1867.84
"33",965262,"Division 3",1252672,"bobbum man brob",5,9,0,0.357,1602.36,1651.18,84,91,0.48,2185.180006
"34",965260,"Division 1",1085327,"Threat level midnight",4,10,0,0.286,1535.04,1795.86,74,87,0.46,1934.21999
"35",965260,"Division 1",1006211,"The Bored Ape Football Team",4,10,0,0.286,1517.34,1684.22,68,107,0.389,2130.10001
"36",965262,"Division 3",881283,"ModestRaen's SSSSHHHHAAARRRKKKSS",2,12,0,0.143,1394.38,1686.16,53,108,0.329,1641.019996
"37",965263,"Division 1",1082473,"Marky Mark's Funky Bunch",9,5,0,0.643,1628.62,1626.08,85,83,0.506,2145.85999
"38",965264,"Division 2",880750,"Amon-Ra: Sun God Rising",9,5,0,0.643,1693.04,1548.28,95,73,0.565,2292.359985
"39",965263,"Division 1",1171903,"Arizona Melt Down",8,6,0,0.571,1603.5,1595.28,71,90,0.441,1795.540004
"40",965265,"Division 3",1315375,"HaHa",8,6,0,0.571,1649.84,1514.74,96,79,0.549,2335.92001
"41",965263,"Division 1",1315177,"TheReidOption's Deep Fakes",7,7,0,0.5,1745.96,1746.24,108,67,0.617,2412.97999
"42",965263,"Division 1",881064,"Hebleb's Hoagies",7,7,0,0.5,1640.98,1459.2,75,93,0.446,2041.479996
"43",965264,"Division 2",880767,"chiefcardinal's Torn ACL Gang",7,7,0,0.5,1546.02,1641.96,63,98,0.391,1876.25999
"44",965265,"Division 3",1092168,"kinfante",7,7,0,0.5,1700.44,1633.5,92.5,75.5,0.551,2164.379982
"45",965264,"Division 2",1509833,"Kachop",6,8,0,0.429,1652.42,1701.2,89.5,85.5,0.511,2180.179991
"46",965264,"Division 2",1082650,"STEEZUS_CHRIST's 16 Apostles",6,8,0,0.429,1611.66,1690.32,79,82,0.491,1933.800006
"47",965265,"Division 3",880743,"That1Fool's Vinegar Strokes",6,8,0,0.429,1691.54,1699.68,101,74,0.577,2303.100004
"48",965265,"Division 3",1252616,"JPP901088",4,10,0,0.286,1435.62,1743.16,53,108,0.329,1786.62
"49",965266,"Division 1",1252585,"StigsCanadian_Cousin's Top so Called Gear",10,4,0,0.714,1634.44,1413.6,93,75,0.554,2085.539994
"50",965266,"Division 1",1428861,"Thebrokenbox",9,5,0,0.643,1695.48,1635.38,95,66,0.59,2076.80001
"51",965266,"Division 1",878099,"Hooked on Stefonics",9,5,0,0.643,1621,1554.32,80,81,0.497,1932.319999
"52",965268,"Division 3",995736,"goober3 swagyolo",9,5,0,0.643,1784.94,1590.4,102,66,0.607,2178.36
"53",965268,"Division 3",1172111,"DeVonta’s Inferno Translated by gmdeux",9,5,0,0.643,1860.28,1676.78,115,60,0.657,2432.56
"54",965266,"Division 1",1082528,"Always Chasineverlight",7,7,0,0.5,1799.28,1737.58,97,71,0.577,2255.359992
"55",965268,"Division 3",1315714,"Dry Banana Hippy Hat",7,7,0,0.5,1637.48,1655.6,81,87,0.482,2165.640004
"56",965267,"Division 2",993308,"Dermzzz",6,8,0,0.429,1509,1534.52,78,97,0.446,2130.320005
"57",965267,"Division 2",1171834,"turkelton’s circus act",6,8,0,0.429,1555.68,1793.98,88,87,0.503,2269.26001
"58",965268,"Division 3",1082488,"dumlucks Being the Boz",5,9,0,0.357,1560.96,1709.46,78,97,0.446,2307.940014
"59",965267,"Division 2",1253166,"Back_e_otter_me",4,10,0,0.286,1390.68,1597.28,42,119,0.261,1678.599991
"60",965267,"Division 2",1315238,"Rob15's Brady Bunch",3,11,0,0.214,1511.2,1661.52,59,102,0.366,1846.68
"61",965269,"Division 1",1259215,"Songforclay's W-Chasers",10,4,0,0.714,1844.16,1551.72,107,61,0.637,2218.15997
"62",965270,"Division 2",1082597,"RedCobra80 Tofugu",10,4,0,0.714,1707.24,1537.66,97,71,0.577,2088.29999
"63",965269,"Division 1",988646,"RulingWalnut's Greater Positive Charge",9,5,0,0.643,1800.48,1711,121.5,53.5,0.694,2523.34
"64",965271,"Division 3",1417296,"NeilFlix",9,5,0,0.643,1814.86,1586.66,119,56,0.68,2487.92003
"65",965270,"Division 2",1252681,"Curtis Painter Stole My Bike",8,6,0,0.571,1641.38,1464.12,82,79,0.509,2034.199975
"66",965271,"Division 3",1314995,"ODDballs",8,6,0,0.571,1676.7,1724.6,90,71,0.559,2004
"67",965271,"Division 3",995808,"IvanHood 2: Closed for Business",7,7,0,0.5,1510.18,1661.88,65.5,102.5,0.39,2110.200005
"68",965269,"Division 1",880934,"chisoxguy7's Something Feels Off-season",5,9,0,0.357,1629.86,1693.16,78,90,0.464,1982.900004
"69",965269,"Division 1",1252671,"MrHomerDoh's Sparkle, Awesome Power!",5,9,0,0.357,1591.5,1650.4,74,101,0.423,2279.39999
"70",965270,"Division 2",883071,"The D-Listers",5,9,0,0.357,1513.12,1652.82,64,111,0.366,2216.339995
"71",965270,"Division 2",1082728,"Blankz presents the Kyler Murray Film Festival",4,10,0,0.286,1452.24,1665.3,49,112,0.304,1761.26001
"72",965271,"Division 3",995381,"Timgar18's Kiss the Cook",4,10,0,0.286,1508.52,1790.92,61,100,0.379,1850.92
"73",965274,"Division 3",1252734,"ogin's Iowa’s Offensive Offense",13,1,0,0.929,1963.24,1551.6,132,36,0.786,2363.3
"74",965273,"Division 2",1171752,"Wocao",11,3,0,0.786,1658.96,1410.66,91,77,0.542,2056.36
"75",965272,"Division 1",880715,"Basedinspace's Lobos",9,5,0,0.643,1796.44,1621.88,115,60,0.657,2425.48002
"76",965273,"Division 2",1084591,"sakuraba39",8,6,0,0.571,1718.76,1596.74,102,73,0.583,2453.41999
"77",965274,"Division 3",1252730,"Show Me Your TDs",8,6,0,0.571,1621.02,1586.96,80,81,0.497,1938.38001
"78",965272,"Division 1",880886,"HiredGoon's Mud is a Food",7,7,0,0.5,1661.06,1644.1,83,78,0.516,1962.06001
"79",965273,"Division 2",880727,"Trancemark Troublemakers",6,8,0,0.429,1651.14,1708.22,83,85,0.494,2219.42
"80",965272,"Division 1",1315309,"GoldenFalcon's GoldenFalcons",5,9,0,0.357,1568.42,1713.62,76,99,0.434,2293.4
"81",965273,"Division 2",880716,"thequicknthedead’s Sloppy Steaks",5,9,0,0.357,1612.5,1665.46,77,91,0.458,2099.36
"82",965274,"Division 3",1316968,"Gonzofisted Slurms",5,9,0,0.357,1594.6,1649,82,93,0.469,2230.659996
"83",965274,"Division 3",880747,"Olave Garden",5,9,0,0.357,1444.72,1659.54,54,107,0.335,1818.78
"84",965272,"Division 1",1082582,"Weigard Is Four Eels; Never Meant To Make Your Daughter Cry He Is Several Fish And Not A Guy",2,12,0,0.143,1378.66,1861.74,33,128,0.205,1656.980005
"85",965275,"Division 1",883793,"sirgippy's Weagles",9,5,0,0.643,1768.3,1694.8,103,65,0.613,2136.06001
"86",965276,"Division 2",1315103,"Chakazulu1's Deer Antler Emporium",9,5,0,0.643,1803.64,1662.84,109,59,0.649,2192.299995
"87",965276,"Division 2",884092,"Indy RB and the Miami Aerial Attack",8,6,0,0.571,1673.24,1559.6,83,78,0.516,1962.32
"88",965275,"Division 1",883841,"Fiestas and Siestas",7,7,0,0.5,1730.64,1580.14,96,79,0.549,2399.45998
"89",965275,"Division 1",1252876,"WiiCat's 15 Step Sheer Drops",7,7,0,0.5,1596.14,1540.5,77,91,0.458,2036.060004
"90",965276,"Division 2",1082526,"AbraKadaniel aka winkdtm",7,7,0,0.5,1607.78,1565.44,93,82,0.531,2274.480015
"91",965276,"Division 2",1085920,"Oatmealnight",7,7,0,0.5,1562.26,1560.96,59,102,0.366,1963.779996
"92",965277,"Division 3",1171859,"The Macaulay Culkinators",7,7,0,0.5,1741.16,1704.88,93,68,0.578,2104.000016
"93",965277,"Division 3",883783,"Māori Gridiron Team",7,7,0,0.5,1599.36,1673,78,90,0.464,2051.18001
"94",965275,"Division 1",1171986,"Midwest Rangers",6,8,0,0.429,1428.04,1687.74,64,97,0.398,1879.460002
"95",965277,"Division 3",884001,"Eliquis Manning",6,8,0,0.429,1689.92,1643.4,92,83,0.526,2293.139974
"96",965277,"Division 3",1315170,"nolan_bear",4,10,0,0.286,1396.86,1724.04,61,114,0.349,1964.88
"97",965279,"Division 2",1171887,"CaptGene's Scrubs",9,5,0,0.643,1758.7,1605.48,105,63,0.625,2263.780005
"98",965280,"Division 3",1315023,"drewasaurus' Swift exit from Premiers",9,5,0,0.643,1721.22,1480.98,105,63,0.625,2281.100025
"99",965280,"Division 3",1252820,"Lanuh's Candidates for Relegation",9,5,0,0.643,1669.36,1651.26,89,86,0.509,2280.09999
"100",965279,"Division 2",1315156,"TBD",8,6,0,0.571,1649.82,1534.34,80,81,0.497,2055.19999
"101",965279,"Division 2",1082571,"Questionable Team",8,6,0,0.571,1611.92,1643.44,83,92,0.474,2165.219999
"102",965278,"Division 1",1171785,"Cookie Partie's Worst to First!",7,7,0,0.5,1698.74,1743.04,90,71,0.559,2022.96
"103",965280,"Division 3",1175651,"Onthedesk Canuckleheads",7,7,0,0.5,1494.44,1487.86,73,95,0.435,2038.680015
"104",965278,"Division 1",878075,"slicehix's Damn Hell Ass Kings",6,8,0,0.429,1651.88,1665.86,86,89,0.491,2164.44
"105",965278,"Division 1",878237,"Buildbyflying's Fartastic Fartball",6,8,0,0.429,1540.94,1710.46,66,95,0.41,1892.499985
"106",965280,"Division 3",1252690,"DuckyofDeath's derpy dimwits",6,8,0,0.429,1700.32,1676.48,100,68,0.595,2271.14001
"107",965278,"Division 1",880140,"kanno's fightin' pretzels",5,9,0,0.357,1524.74,1630.72,66,109,0.377,2067.65999
"108",965279,"Division 2",878530,"Bhenady Hot Karls",4,10,0,0.286,1523,1715.16,65,96,0.404,1877.84001
"109",965283,"Division 3",993242,"Los Chupacabras",12,2,0,0.857,1801.62,1482.32,115,53,0.685,2298.99999
"110",965281,"Division 1",882773,"Get Outta My Dreams",10,4,0,0.714,1554.18,1572.1,72,96,0.429,2000.04
"111",965282,"Division 2",1253025,"Parkinsonian Symptoms",9,5,0,0.643,1734.84,1548.6,101,60,0.627,2119.23999
"112",965283,"Division 3",1315315,"Bad News Beers",9,5,0,0.643,1838.5,1529.88,114,61,0.651,2524.63999
"113",965283,"Division 3",993946,"Themaximus77",8,6,0,0.571,1674.02,1690.88,87,74,0.54,1904.600001
"114",965281,"Division 1",881783,"Swallowtails Somewhat Fraudulent Team",7,7,0,0.5,1479.06,1585.36,73,102,0.417,2091.16
"115",965281,"Division 1",1082757,"ItsaMamaLuigi's Hot Dog Land",7,7,0,0.5,1871.8,1685.92,113,55,0.673,2327.74002
"116",965282,"Division 2",1265248,"Anal Punt",6,8,0,0.429,1535.96,1652.4,67,101,0.399,2071.300008
"117",965282,"Division 2",881890,"Rip Dingers and the Nasty Crew",5,9,0,0.357,1566.78,1773.08,75.5,99.5,0.431,2198.38
"118",965281,"Division 1",884764,"Fabuloua's Just Here To Not Get Fined",4,10,0,0.286,1614.5,1762,85.5,89.5,0.489,2218.099996
"119",965282,"Division 2",881841,"CJL13's Totally Not Injured Team",4,10,0,0.286,1402.4,1590.18,38,123,0.236,1749.9
"120",965283,"Division 3",1314990,"cjw200 The Pecan Sandies",3,11,0,0.214,1565.12,1766.06,67,94,0.416,1991.619995
"121",965286,"Division 3",880928,"Microwave87's Third Putt",10,4,0,0.714,1663.02,1524.22,95,73,0.565,2156.179995
"122",965284,"Division 1",880873,"billyliberty's relegators",9,5,0,0.643,1774.8,1651.46,99,69,0.589,2155.66001
"123",965285,"Division 2",1010652,"Walkingfox's Super Sleepy Sleepers",9,5,0,0.643,1739.16,1527.94,95,66,0.59,2054.72001
"124",965285,"Division 2",880979,"bensully's this is not the year",9,5,0,0.643,1578.8,1480.74,74,87,0.46,1952.22
"125",965286,"Division 3",996672,"Wetzilla's Back in the Premier!",9,5,0,0.643,1644.48,1635.66,93,82,0.531,2300.67999
"126",965285,"Division 2",1085091,"Duece_Brinkins Death and Texans",8,6,0,0.571,1551.62,1593.62,79,96,0.451,2291.639995
"127",965284,"Division 1",880919,"Dkenna23's Natural Born Kylers",7,7,0,0.5,1613.84,1687.34,81,87,0.482,2138.800004
"128",965286,"Division 3",1315570,"Paradigm1",7,7,0,0.5,1833.5,1644.44,111,57,0.661,2319.280011
"129",965284,"Division 1",1171892,"thejackal's Sabotage",6,8,0,0.429,1623.18,1697.02,85,90,0.486,2193.459991
"130",965284,"Division 1",1253758,"Pipelayah's QB Roulette",5,9,0,0.357,1595.9,1632.76,69,92,0.429,1960.52
"131",965286,"Division 3",1252786,"ILIKEFRYRICE",3,11,0,0.214,1542.46,1830.82,77,98,0.44,2225.320015
"132",965285,"Division 2",1316274,"Bananapeelslipperstdgrippers",2,12,0,0.143,1462.04,1716.78,50,111,0.311,1958.58001
"133",965287,"Division 1",881576,"brav0h0t3l",9,5,0,0.643,1737.34,1614.48,105,63,0.625,2206.379994
"134",965288,"Division 2",1252713,"OzCorp Goblins",9,5,0,0.643,1800.68,1617.62,113,55,0.673,2342.96
"135",965289,"Division 3",1315332,"bashcs and the uncanny ungulates",9,5,0,0.643,1719.06,1726.6,106,69,0.606,2256.46
"136",965287,"Division 1",881351,"Vandelay Industries",8,6,0,0.571,1637.1,1544.58,77,84,0.478,1987.78
"137",965288,"Division 2",1349149,"Touchdown Where",8,6,0,0.571,1763.2,1609.96,101,74,0.577,2307.94002
"138",965288,"Division 2",882197,"b-jizz's Replacements",8,6,0,0.571,1556.42,1604.48,71,90,0.441,1924.260014
"139",965289,"Division 3",881621,"Jbell's Santa Brady",6,8,0,0.429,1578.22,1584.42,79,89,0.47,2107.24
"140",965289,"Division 3",1252570,"Untitled",6,8,0,0.429,1532.56,1574.34,65,103,0.387,2063.659986
"141",965289,"Division 3",1315083,"hamburgular70's Phoenixes... Phoenices? Phoeni?",6,8,0,0.429,1446.98,1516.74,48,113,0.298,1794.320002
"142",965287,"Division 1",881240,"omnicious Fantasy Football Team",5,9,0,0.357,1625.28,1691.4,90,85,0.514,2196.12
"143",965287,"Division 1",1082476,"justinwool's Dagovirus",5,9,0,0.357,1581.7,1759.6,84,91,0.48,2250.999995
"144",965288,"Division 2",882466,"The Comeback Kid",5,9,0,0.357,1561.66,1695.98,69,92,0.429,1949.08001
"145",965290,"Division 1",1253046,"Praise the Sun God",9,5,0,0.643,1775.1,1618.98,109,59,0.649,2401.72
"146",965291,"Division 2",1171909,"Munchin Bundchen",9,5,0,0.643,1602.38,1507.72,86,75,0.534,1949.200008
"147",965291,"Division 2",1171802,"Saved by the Cordarelle",9,5,0,0.643,1615.14,1496.42,85,76,0.528,2012.48
"148",965292,"Division 3",1323134,"Cornfrontation will not be relegated",9,5,0,0.643,1682.26,1481.66,91,77,0.542,2080.180014
"149",965290,"Division 1",1007823,"eat heryesher’s shorts",8,6,0,0.571,1704.08,1683.28,90,78,0.536,2147.260015
"150",965291,"Division 2",1314989,"Skedssays megapowers",8,6,0,0.571,1704.88,1630.26,104,71,0.594,2376.06
"151",965291,"Division 2",1082509,"sycos21 4th and long",8,6,0,0.571,1631.42,1635.26,83,85,0.494,2047.31998
"152",965292,"Division 3",1513678,"Big Bad AJ Brown",8,6,0,0.571,1822.5,1771.68,126,49,0.72,2480.680005
"153",965292,"Division 3",1328849,"TBD",7,7,0,0.5,1509.82,1582.68,62,99,0.385,1815.139995
"154",965290,"Division 1",1252717,"Fighting Cheesecakes",5,9,0,0.357,1536.02,1594.54,64,97,0.398,1880.820005
"155",965290,"Division 1",1171773,"Sour_x QB Killers",3,11,0,0.214,1500.78,1669.9,69,106,0.394,2155.699996
"156",965292,"Division 3",997613,"Vaati",1,13,0,0.071,1284.56,1696.56,39,136,0.223,1884.220005
"157",965295,"Division 3",1316206,"sbdreiser's 2 Can Slams",10,4,0,0.714,1878.68,1701.54,121,47,0.72,2328.82
"158",965293,"Division 1",1417290,"Lurkerish's You could fill two internets",9,5,0,0.643,1584.54,1600.96,70,98,0.417,2007.440005
"159",965294,"Division 2",1252781,"LatDropKing's Underachievers",9,5,0,0.643,1729.84,1617.48,94,81,0.537,2243.22
"160",965293,"Division 1",1085277,"caltomin's Rookie Numbers",8,6,0,0.571,1728.72,1550.04,102,73,0.583,2389.56
"161",965295,"Division 3",1323879,"GATTACA!!",8,6,0,0.571,1827.82,1676.2,102,59,0.634,2077.9
"162",965294,"Division 2",1175353,"vivasaur’s Good Wilfork Hunting",7,7,0,0.5,1599.2,1554.62,71,90,0.441,1865.100004
"163",965294,"Division 2",1172103,"_CodeMonkey’s Wild Ride",7,7,0,0.5,1569.52,1590.72,67,101,0.399,2007.619995
"164",965295,"Division 3",1258433,"Ballofpopculture's Relegations",7,7,0,0.5,1552.2,1648.72,83.5,84.5,0.497,2106.560004
"165",965293,"Division 1",1006477,"Colonel Mostert",5,9,0,0.357,1565.46,1625.12,77,98,0.44,2211.360016
"166",965294,"Division 2",1315349,"Jakesnake42’s Orange Lightning",5,9,0,0.357,1491.56,1686.12,49,112,0.304,1914.2
"167",965295,"Division 3",1172417,"5 Centimeters Per Second (r/Takuru)",5,9,0,0.357,1704.52,1725.56,88,73,0.547,1992.78
"168",965293,"Division 1",1252735,"in_toto the void",4,10,0,0.286,1542.46,1797.44,83.5,91.5,0.477,2197.519995
"169",965296,"Division 1",1083211,"Under New Management",11,3,0,0.786,1799.34,1566.42,122,46,0.726,2260.82001
"170",965296,"Division 1",1175360,"Bird Person",10,4,0,0.714,1808.58,1603.76,113,48,0.702,2229.04
"171",965298,"Division 3",1315066,"Anders157's Splish Splash FC",10,4,0,0.714,1869.72,1529,122,46,0.726,2329.119985
"172",965298,"Division 3",1315176,"Jerry’s Kids",9,5,0,0.643,1646.66,1535.6,96,79,0.549,2296.06
"173",965297,"Division 2",996300,"swimkid07's BuffaLove",7,7,0,0.5,1696.96,1663.74,100,75,0.571,2171.3
"174",965298,"Division 3",996485,"ejm13's Wahooligans",7,7,0,0.5,1613.82,1707.34,78.5,82.5,0.488,1987.38001
"175",965298,"Division 3",996305,"Gettin' Diggy With It",7,7,0,0.5,1594,1570.32,70,98,0.417,2043.22001
"176",965296,"Division 1",996276,"harryLOL's Replacements",6,8,0,0.429,1540.5,1634.98,71.5,96.5,0.426,1991.319995
"177",965297,"Division 2",1172029,"Time to Simmer Maybe",6,8,0,0.429,1575.5,1669.82,73,88,0.453,1972.12
"178",965296,"Division 1",1258434,"Seequa's Something Clever",5,9,0,0.357,1438.22,1592.36,43,118,0.267,1859.32001
"179",965297,"Division 2",1252704,"Love Hurts",5,9,0,0.357,1550.66,1664.64,70,105,0.4,2108.979996
"180",965297,"Division 2",1315345,"DinoJockeyTebow Died On The Cross To Save The Team",1,13,0,0.071,1403.92,1799.9,49,126,0.28,2022.6
"181",965301,"Division 3",996293,"Hurt Latkes",10,4,0,0.714,1701.6,1573.06,103,65,0.613,2180.58001
"182",965299,"Division 1",1083266,"Nater’s Taters",9,5,0,0.643,1728.14,1532.94,102,66,0.607,2229.939996
"183",965300,"Division 2",1259974,"Y'all Don't Want This Smoke",9,5,0,0.643,1747,1627.86,119,56,0.68,2363.159985
"184",965301,"Division 3",999058,"katskilla’s foosball team",9,5,0,0.643,1617.98,1519.36,79,96,0.451,2280.96001
"185",965299,"Division 1",1172007,"gozos' football team",8,6,0,0.571,1703.06,1568.02,106.5,61.5,0.634,2236.59999
"186",965300,"Division 2",996435,"Tanking4Tua",8,6,0,0.571,1670,1580.12,86,75,0.534,1998.839985
"187",965300,"Division 2",1332165,"Lucky Lions",8,6,0,0.571,1591.88,1596.02,79,82,0.491,1944.700005
"188",965301,"Division 3",1315155,"Sirphd, Let's Ride",7,7,0,0.5,1729.5,1641.6,89.5,78.5,0.533,2137.79999
"189",965299,"Division 1",1171949,"When Eifert it Ertz",6,8,0,0.429,1581.82,1702.5,75,86,0.466,1881.159996
"190",965299,"Division 1",1315000,"The-nino",5,9,0,0.357,1462.24,1610.38,56,105,0.348,1871.52001
"191",965300,"Division 2",1082575,"Ricardo's Rachets, Last Ride",3,11,0,0.214,1324.94,1652.88,46,129,0.263,1966.19999
"192",965301,"Division 3",1315206,"Fujiwara Tofu Store",2,12,0,0.143,1519.84,1773.26,67,108,0.383,2163.139996
"193",965303,"Division 2",1329480,"Willy Wonka's Wonderballs",9,5,0,0.643,1754.82,1639.18,94,74,0.56,2243.76001
"194",965304,"Division 3",1175258,"TheMahstahs Lucky#16",9,5,0,0.643,1732.26,1613.44,96,72,0.571,2142.84
"195",965304,"Division 3",1096077,"Crum Dawg",9,5,0,0.643,1700.16,1524.84,104,71,0.594,2396.49999
"196",965302,"Division 1",1252575,"LA Golds",8,6,0,0.571,1683.16,1699.08,86,75,0.534,1953.66
"197",965303,"Division 2",1315047,"LordBananana's Fruits",8,6,0,0.571,1681.82,1650.12,88,73,0.547,1964.699996
"198",965302,"Division 1",1172521,"Clyde's Big Derrick Energy",7,7,0,0.5,1511.04,1551.22,67,101,0.399,1974.319999
"199",965303,"Division 2",1315087,"ESKM why he so good",7,7,0,0.5,1648,1660.68,94,81,0.537,2150.21999
"200",965304,"Division 3",1316271,"Sunday Morning Fantasy",7,7,0,0.5,1727.96,1688.18,101,67,0.601,2260.339985
"201",965302,"Division 1",1252600,"ChaplnGrillSgt's Privates",6,8,0,0.429,1630.8,1627.14,78,83,0.484,1972.64
"202",965302,"Division 1",996317,"Ionath Krakens",5,9,0,0.357,1506.68,1649.18,72,103,0.411,2201.29999
"203",965304,"Division 3",1258631,"Mallets Gotta Smash",5,9,0,0.357,1506.22,1601.2,59,102,0.366,1837.92
"204",965303,"Division 2",1258559,"Crander47 presents DJ Snoop Barkley",4,10,0,0.286,1471.58,1650.24,69,106,0.394,2162.40001
"205",965306,"Division 2",1171898,"CamNukeTown",10,4,0,0.714,1871.2,1735.16,121,47,0.72,2250.41998
"206",965305,"Division 1",1315025,"WhoDey and the Blowfish",9,5,0,0.643,1632.64,1488.38,78,90,0.464,2114.36
"207",965306,"Division 2",1252666,"Serlin Steaks",9,5,0,0.643,1685.92,1516.74,90,85,0.514,2196.679995
"208",965306,"Division 2",1096275,"The Replacements",8,6,0,0.571,1584.16,1626.54,74,87,0.46,1861.440005
"209",965307,"Division 3",1258437,"Game Over Man",8,6,0,0.571,1697.36,1668.72,101,74,0.577,2350.839995
"210",965307,"Division 3",1330376,"AloysiusTravers' Random Priests",8,6,0,0.571,1685.66,1699.68,83,78,0.516,2105.460002
"211",965305,"Division 1",996544,"Trimblco is massive",7,7,0,0.5,1652.04,1481.54,93,75,0.554,2099.88
"212",965305,"Division 1",1096115,"posure's Part-time Jeopardy Host",7,7,0,0.5,1609.56,1569.02,82,86,0.488,2117.09999
"213",965307,"Division 3",996655,"My DK in a box",7,7,0,0.5,1603.98,1651.26,89,86,0.509,2243.84001
"214",965307,"Division 3",1315322,"Waffle Party",7,7,0,0.5,1547.92,1558.12,85,90,0.486,2180.640004
"215",965306,"Division 2",1096162,"Monk_vas_Funk's Funky Bunch",3,11,0,0.214,1482.62,1719.16,67,94,0.416,1766.839995
"216",965305,"Division 1",1252568,"Maulers",1,13,0,0.071,1363.32,1702.06,45,116,0.28,1768.28001
"217",965310,"Division 3",1252605,"Buckle Up, Butter Kupp",13,1,0,0.929,1867.22,1473.48,116,52,0.69,2319.700005
"218",965308,"Division 1",1315033,"I Touchdown There",11,3,0,0.786,1766.38,1578.54,107,61,0.637,2327.65998
"219",965309,"Division 2",1252991,"Puppytossedsalad TBD",10,4,0,0.714,1625.24,1482.3,91,70,0.565,2047.54
